description,technicalName
Your Reference (STO),ZPURREF
Batch Number - Alternate,ZBATMAT__ZALT_BAT
Plant of Manufacture,ZBATMAT__ZMANUPLNT
LSC Name,ZSHIPPINT__ZLSCNAME
Goods Issue Date,0CALDAY
Goods Issue Year,0CALYEAR
Goods Issue Week,0CALWEEK
Goods Issue Quarter,0CALQUARTER
Create By (OI),ZERNAM_O
Ship To Country,0SHIP_TO__ZRCTRY
Ship To Region,0SHIP_TO__ZRREGION
Ship From Area,0PLANT__ZRWRLDARE
Ship From Region,0PLANT__ZRREGION
STAS - Shipment document Status,ZSTTRG
Ship To Customer,0SHIP_TO
Sold To Customer,0SOLD_TO
Global Customer,0SOLD_TO__ZPCE_GLOB
Ship From Country,0PLANT__ZRCTRY
Carrier (Ocean),ZTKNUM_M__ZCAR_OCN
Carrier (Primary),ZTKNUM_M__ZCAR_PRI
Plant Type,0PLANT__ZATWRT_PT
Company Code,0COMP_CODE
Company Group,0COMP_CODE__ZCOMP_GRP
Profit Center,0PROFIT_CTR
InfoProvider,0INFOPROV
Changed By (SH),ZTKNUM_M__ZAENAM_S
Dt - (SH) Changed On,ZTKNUM_M__ZAEDAT_S
Route (SH),ZTKNUM_M__0ROUTE
Carrier (DH),ZITM_DI__0FORWAGENT
Route (DH),ZITM_DI__0ROUTE
Shipping Type (DH),ZITM_DI__0SHIPPTYP
Shipment Number,ZTKNUM
Material,0MATERIAL
Dt - (M) Material Doc Create,ZCPUDT
Dt - First Border Crossing Doc. Creation,ZERDAT_BI
Dt - (OH) Created On,ZERDAT_OH
Dt - (SH) Check In Actual,0DTCHKINACT
Dt - (SH) FD Delivery to Port Actual,ZTKNUM_M__ZDTP_AD
Dt - (SH) FD Departure Date Actl,ZTKNUM_M__ZDEPRT_AD
Tm - (SH) FD Departure Date Actl,ZTKNUM_M__ZDEPRT_AT
Dt - (SH) FD FstBookArr Actual,ZTKNUM_M__ZVESLA_AD
Dt - (SH) CL AC First,ZTKNUM_M__ZTDAC_F
Dt - (SH) CL AW First,ZTKNUM_M__ZTDAW_F
Dt - (SH) CL AW Last,ZTKNUM_M__ZTDAW_L
Dt - (SH) CL NW Last,ZTKNUM_M__ZTDNW_L
Dt - (SH) CL RJ Last,ZTKNUM_M__ZTDRJ_L
Dt - (SH) CL RL Last,ZTKNUM_M__ZTDRL_L
Dt - (SH) Created On,ZTKNUM_M__ZERDAT_S
Dt - (SH) FD Arrival Plan,ZTKNUM_M__ZARR_PD
Dt - (SH) CL RB First,ZTKNUM_M__ZTDRB_F
Dt - (SH) CL RJ First,ZTKNUM_M__ZTDRJ_F
Dt - (SH) CL RL First,ZTKNUM_M__ZTDRL_F
Dt - (SH) CL EX Last,ZTKNUM_M__ZTDEX_L
Dt - (SH) CL EX First,ZTKNUM_M__ZTDEX_F
Dt - (SH) Tender,ZTKNUM_M__ZTNDRDAT
Shipping Point,0SHIP_POINT
Business  (AOB),ZINV_MATP__ZBBUSINES
Business Group (AOB),ZINV_MATP__ZBBUSGRP
Management Group (AOB),ZINV_MATP__ZBDIVSION
Performance Center (AOB),ZINV_MATP__ZBPERFCTR
Value Center (AOB),ZINV_MATP__ZBVALCTR
Profit Center (AOB),ZINV_MATP__0PROFIT_CTR
Availability Check Indicator (AOB),ZINV_MATP__ZMTVFP
Shipping Conditions,ZITM_OI__0SHIP_COND
Dt - (DH)Transp. Planning Date,ZITM_DI__ZTDDAT
STAS - Shipment has EX Status,ZF_EX
STAS - Shipment has RB Status,ZF_RB
STAS - Shipment has RJ Status,ZF_RJ
STAS - Shipment has RL Status,ZF_RL
STAS - Shipment has R2 Status,ZF_R2
STAS - Shipment has R3 Status,ZF_R3
STAS - Shipment has RM Status,ZF_RM
Tm - First Border Crossing Doc. Creation,ZERZET_B
Dt - (SH) CL RB Last,ZTKNUM_M__ZTDRB_L
Dt - (SH) FD Arrival Actual,ZTKNUM_M__ZARR_AD
Shipment Type (SH),0SHTYP
Dt - (SH) CL CF First,ZTKNUM_M__ZTDCF_F
Dt - (SH) CL CF Last,ZTKNUM_M__ZTDCF_L
Dt - (SH) CL CO First,ZTKNUM_M__ZCOBDT_F
Dt - (SH) CL CO Last,ZTKNUM_M__ZCOBDT_L
Dt - (SH) FD Delivery to Port Plan,ZTKNUM_M__ZDTP_PD
Dt - (SH) FD FstBookArr Plan,ZTKNUM_M__ZVESLA_PD
Dt - (SH) Shipment End Planned,ZTKNUM_M__0DTSHP_E_PL
FLAG - Shipment Indicator,ZIND_SH
Dt - (DH) Delivery Date,ZITM_DI__0SHIP_DATE
Dt - (DH) Delivery Month,ZITM_DI__ZSHIP_MON
Dt - (SH) Shipment End Actual,0DTSHP_EACT
