description,technicalName
Dt - (SH) Shipment Completion Actual,0DTCOMPLACT
Dt - (SH) FD Sailing Date Actual,ZTKNUM_M__ZSAIL_AD
Dt - (SH) CL NW First,ZTKNUM_M__ZTDNW_F
Dt - (SH) CL AC Last,ZTKNUM_M__ZTDAC_L
Mode of Transportation (DN),0SHIPPTYP__ZMODE_TR
Mode of Transportation (SH),ZSHIPPTYP__ZMODE_TR
Reference Document No. (DH),ZITM_DI__ZXBLNR_DH
Storage Conditions,0MATERIAL__ZRAUBE
Storage Conditions (AOB),ZINVN_MAT__ZRAUBE
FLAG MPC - RB Impact,ZF_RBI
FLAG MPC - Risk Detection,ZF_MRD
FLAG MPC - Rollover,ZF_ROLL
FLAG MPC - Same Month Change,ZF_MSM
FLAG MPC - Timely Booking,ZF_TB
FLAG MPC - Timely GI,ZF_TMGI
FLAG MPC - Timely OE,ZF_TMO
FLAG MPC - Timely Re-Booking,ZF_TRB
FLAG MPC - Timely Site Load,ZF_TSL
FLAG MPC - Timely Sail,ZF_TMS
Dt - Ori. Goods Issue Date,ZDTOPGI
Ori. Goods Issue Month,ZOGI_MON
Ori. Goods Issue Quarter,ZOGI_QTR
Ori. Goods Issue Week,ZOGI_WEEK
Ori. Goods Issue Year,ZOGI_YEAR
Dt - (SH) FD Cut-off at Departure,ZTKNUM_M__ZDEPCO_PD
STAS - MPC MAR Delayed or Advanced,ZSTA_AOD
Dt - (SH) FD Vessel Arr Plan-0,ZTKNUM_M__ZVESEL_PD
Plant Location - Recvng STO,ZRECPLANT__0CITY
Planning Site,0PLANT__ZSOPLOCID
Planning Site - Recvng STO,ZRECPLANT__ZSOPLOCID
Supply Family,0MATERIAL__ZSPLYFAM
Business Defined Field,0MAT_PLANT__ZFIELD5
Stocking Strategy,0MAT_PLANT__ZFIELD6
Dt - (SH) AIR FD 1st Transshipment Port Arrival Actual,ZTKNUM_M__ZTSAA1_AD
Dt - (SH) AIR FD 1st Transshipment Port Departure Actual,ZTKNUM_M__ZTSAD1_DD
Goods Issue Month Only,ZONLYMO
Goods Issue Quarter Only,ZONLYQTR
Goods Issue Week Only,ZONLYWK
QAC,ZSPECIDH__ZSAUTHGRP
SMC,ZSPECIDH__ZDOWSMC
Dt - (OI) Created On,ZERDAT_O
Dt - (STO) Created On,0DOC_DATE
Dt - (OI/STO) Created On,ZDATOHSTO
